,latitude,longitude,updated_type,updated_subtype,count
0,41.65,-87.58,Hazard,Weather Hazards,71
1,41.66,-87.59,Hazard,Shoulder Hazards,2498
2,41.66,-87.59,Hazard,Weather Hazards,221
3,41.69,-87.6,Hazard,Weather Hazards,67
4,41.69,-87.6,Road Closures,Event-Related Closure,4964
5,41.71,-87.64,Road Closures,Event-Related Closure,4947
6,41.76,-87.71,Road Closures,Hazard-Related Closure,1
7,41.77,-87.68,Road Closures,Hazard-Related Closure,1
8,41.78,-87.63,Accident,Major,135
9,41.79,-87.63,Hazard,Shoulder Hazards,2754
10,41.8,-87.63,Hazard,Shoulder Hazards,2816
11,41.81,-87.63,Accident,Major,143
12,41.81,-87.63,Accident,Unclassified,307
13,41.81,-87.63,Hazard,Road Hazards,1228
14,41.81,-87.63,Hazard,Shoulder Hazards,2641
15,41.81,-87.63,Hazard,Unclassified,57
16,41.82,-87.73,Jam,Moderate Traffic,60
17,41.82,-87.63,Hazard,Shoulder Hazards,3208
18,41.83,-87.69,Hazard,Weather Hazards,59
19,41.83,-87.64,Road Closures,Construction,3
20,41.83,-87.64,Road Closures,Hazard-Related Closure,1
21,41.83,-87.63,Hazard,Shoulder Hazards,2704
22,41.84,-87.71,Jam,Light Traffic,1
23,41.84,-87.67,Road Closures,Hazard-Related Closure,1
24,41.84,-87.63,Accident,Major,119
25,41.84,-87.63,Accident,Unclassified,268
26,41.84,-87.63,Hazard,Road Hazards,1222
27,41.84,-87.63,Hazard,Shoulder Hazards,3388
28,41.84,-87.63,Hazard,Unclassified,56
29,41.84,-87.63,Road Closures,Event-Related Closure,4974
30,41.85,-87.64,Accident,Major,157
31,41.85,-87.64,Accident,Minor,45
32,41.85,-87.64,Accident,Unclassified,363
33,41.85,-87.64,Hazard,Unclassified,42
34,41.85,-87.64,Hazard,Weather Hazards,83
35,41.85,-87.64,Jam,Unclassified,582
36,41.85,-87.63,Hazard,Unclassified,45
37,41.86,-87.64,Accident,Major,161
38,41.86,-87.64,Accident,Minor,52
39,41.86,-87.64,Accident,Unclassified,352
40,41.86,-87.64,Hazard,Road Hazards,1456
41,41.86,-87.62,Jam,Light Traffic,1
42,41.87,-87.64,Accident,Major,225
43,41.87,-87.64,Accident,Minor,35
44,41.87,-87.64,Accident,Unclassified,340
45,41.87,-87.64,Hazard,Road Hazards,1389
46,41.87,-87.64,Road Closures,Construction,4
47,41.87,-87.64,Road Closures,Unclassified,257
48,41.87,-87.62,Road Closures,Event-Related Closure,233
49,41.87,-87.62,Road Closures,Unclassified,367
50,41.88,-87.67,Hazard,Road Hazards,2060
51,41.88,-87.66,Accident,Major,123
52,41.88,-87.65,Accident,Major,192
53,41.88,-87.65,Accident,Minor,56
54,41.88,-87.65,Accident,Unclassified,536
55,41.88,-87.65,Hazard,Road Hazards,1743
56,41.88,-87.65,Hazard,Shoulder Hazards,2826
57,41.88,-87.65,Hazard,Weather Hazards,73
58,41.88,-87.65,Jam,Heavy Traffic,4214
59,41.88,-87.65,Jam,Moderate Traffic,60
60,41.88,-87.65,Jam,Stand Still Traffic,4666
61,41.88,-87.65,Jam,Unclassified,944
62,41.88,-87.65,Road Closures,Construction,15
63,41.88,-87.65,Road Closures,Event-Related Closure,5002
64,41.88,-87.65,Road Closures,Unclassified,979
65,41.88,-87.63,Jam,Light Traffic,1
66,41.88,-87.62,Hazard,Road Hazards,1355
67,41.88,-87.62,Jam,Light Traffic,1
68,41.88,-87.62,Road Closures,Event-Related Closure,291
69,41.88,-87.62,Road Closures,Unclassified,420
70,41.89,-87.69,Road Closures,Construction,4
71,41.89,-87.65,Accident,Major,145
72,41.89,-87.65,Accident,Minor,66
73,41.89,-87.65,Accident,Unclassified,452
74,41.89,-87.65,Hazard,Road Hazards,1534
75,41.89,-87.65,Hazard,Shoulder Hazards,2877
76,41.89,-87.65,Jam,Heavy Traffic,4194
77,41.89,-87.65,Jam,Moderate Traffic,70
78,41.89,-87.65,Jam,Stand Still Traffic,4278
79,41.89,-87.65,Jam,Unclassified,1086
80,41.89,-87.65,Road Closures,Event-Related Closure,4964
81,41.89,-87.65,Road Closures,Hazard-Related Closure,1
82,41.89,-87.65,Road Closures,Unclassified,254
83,41.89,-87.62,Road Closures,Hazard-Related Closure,1
