,latitude,longitude,updated_type,updated_subtype,hour,count
0,41.65,-87.58,Accident,Minor,05:00,1
1,41.65,-87.58,Accident,Minor,07:00,2
2,41.65,-87.58,Hazard,Weather Hazards,03:00,5
3,41.65,-87.58,Hazard,Weather Hazards,06:00,2
4,41.65,-87.58,Hazard,Weather Hazards,07:00,3
5,41.65,-87.58,Hazard,Weather Hazards,09:00,4
6,41.65,-87.58,Hazard,Weather Hazards,10:00,8
7,41.65,-87.58,Hazard,Weather Hazards,11:00,9
8,41.65,-87.58,Hazard,Weather Hazards,21:00,9
9,41.65,-87.58,Hazard,Weather Hazards,23:00,3
10,41.66,-87.64,Jam,Unclassified,08:00,1
11,41.66,-87.6,Hazard,Weather Hazards,15:00,3
12,41.66,-87.59,Accident,Major,06:00,4
13,41.66,-87.59,Accident,Major,07:00,4
14,41.66,-87.59,Accident,Major,11:00,5
15,41.66,-87.59,Accident,Major,14:00,5
16,41.66,-87.59,Accident,Minor,05:00,2
17,41.66,-87.59,Accident,Minor,06:00,1
18,41.66,-87.59,Accident,Minor,07:00,1
19,41.66,-87.59,Accident,Minor,09:00,1
20,41.66,-87.59,Accident,Minor,12:00,2
21,41.66,-87.59,Accident,Minor,16:00,2
22,41.66,-87.59,Accident,Unclassified,09:00,5
23,41.66,-87.59,Hazard,Road Hazards,08:00,18
24,41.66,-87.59,Hazard,Shoulder Hazards,00:00,120
25,41.66,-87.59,Hazard,Shoulder Hazards,01:00,98
26,41.66,-87.59,Hazard,Shoulder Hazards,02:00,115
27,41.66,-87.59,Hazard,Shoulder Hazards,03:00,81
28,41.66,-87.59,Hazard,Shoulder Hazards,07:00,30
29,41.66,-87.59,Hazard,Shoulder Hazards,08:00,24
30,41.66,-87.59,Hazard,Shoulder Hazards,09:00,42
31,41.66,-87.59,Hazard,Shoulder Hazards,10:00,83
32,41.66,-87.59,Hazard,Shoulder Hazards,11:00,111
33,41.66,-87.59,Hazard,Unclassified,01:00,3
34,41.66,-87.59,Hazard,Unclassified,03:00,4
35,41.66,-87.59,Hazard,Weather Hazards,00:00,8
36,41.66,-87.59,Hazard,Weather Hazards,01:00,7
37,41.66,-87.59,Hazard,Weather Hazards,02:00,3
38,41.66,-87.59,Hazard,Weather Hazards,03:00,9
39,41.66,-87.59,Hazard,Weather Hazards,05:00,4
40,41.66,-87.59,Hazard,Weather Hazards,06:00,5
41,41.66,-87.59,Hazard,Weather Hazards,07:00,5
42,41.66,-87.59,Hazard,Weather Hazards,08:00,13
43,41.66,-87.59,Hazard,Weather Hazards,09:00,15
44,41.66,-87.59,Hazard,Weather Hazards,10:00,20
45,41.66,-87.59,Hazard,Weather Hazards,11:00,27
46,41.66,-87.59,Hazard,Weather Hazards,12:00,6
47,41.66,-87.59,Hazard,Weather Hazards,13:00,17
48,41.66,-87.59,Hazard,Weather Hazards,14:00,10
49,41.66,-87.59,Hazard,Weather Hazards,15:00,6
50,41.66,-87.59,Hazard,Weather Hazards,17:00,7
51,41.66,-87.59,Hazard,Weather Hazards,18:00,12
52,41.66,-87.59,Hazard,Weather Hazards,20:00,7
53,41.66,-87.59,Hazard,Weather Hazards,21:00,17
54,41.66,-87.59,Hazard,Weather Hazards,23:00,15
55,41.66,-87.59,Jam,Heavy Traffic,09:00,2
56,41.66,-87.59,Jam,Moderate Traffic,05:00,1
57,41.66,-87.59,Jam,Stand Still Traffic,09:00,2
58,41.66,-87.59,Road Closures,Event-Related Closure,10:00,2
59,41.66,-87.58,Accident,Minor,05:00,1
60,41.66,-87.58,Hazard,Weather Hazards,08:00,2
61,41.66,-87.58,Hazard,Weather Hazards,09:00,3
62,41.66,-87.58,Hazard,Weather Hazards,11:00,6
63,41.66,-87.56,Accident,Minor,03:00,1
64,41.66,-87.56,Accident,Minor,07:00,1
65,41.66,-87.56,Accident,Minor,11:00,1
66,41.67,-87.64,Jam,Unclassified,08:00,1
67,41.67,-87.6,Accident,Major,09:00,2
68,41.67,-87.6,Accident,Minor,04:00,1
69,41.67,-87.6,Accident,Minor,10:00,1
70,41.67,-87.6,Hazard,Shoulder Hazards,05:00,47
71,41.67,-87.6,Hazard,Shoulder Hazards,08:00,24
72,41.67,-87.6,Hazard,Shoulder Hazards,09:00,32
73,41.67,-87.6,Jam,Heavy Traffic,07:00,2
74,41.67,-87.6,Jam,Stand Still Traffic,09:00,2
75,41.67,-87.59,Accident,Minor,10:00,1
76,41.67,-87.59,Hazard,Weather Hazards,07:00,2
77,41.67,-87.59,Jam,Moderate Traffic,03:00,1
78,41.67,-87.58,Road Closures,Construction,22:00,1
79,41.68,-87.72,Hazard,Unclassified,12:00,2
80,41.68,-87.72,Hazard,Unclassified,22:00,2
81,41.68,-87.64,Jam,Unclassified,08:00,1
82,41.68,-87.6,Accident,Major,08:00,3
83,41.68,-87.6,Accident,Major,09:00,3
84,41.68,-87.6,Accident,Minor,05:00,1
85,41.68,-87.6,Accident,Minor,09:00,1
86,41.68,-87.6,Hazard,Road Hazards,08:00,17
87,41.68,-87.6,Hazard,Shoulder Hazards,06:00,31
88,41.68,-87.6,Hazard,Shoulder Hazards,07:00,37
89,41.68,-87.6,Hazard,Shoulder Hazards,09:00,33
90,41.68,-87.6,Hazard,Shoulder Hazards,11:00,102
91,41.68,-87.6,Hazard,Unclassified,22:00,2
92,41.68,-87.6,Hazard,Weather Hazards,23:00,3
93,41.68,-87.6,Jam,Heavy Traffic,08:00,1
94,41.68,-87.6,Jam,Unclassified,08:00,1
95,41.68,-87.6,Road Closures,Construction,16:00,1
96,41.69,-87.68,Road Closures,Event-Related Closure,17:00,24
97,41.69,-87.6,Accident,Major,16:00,4
98,41.69,-87.6,Accident,Minor,05:00,1
99,41.69,-87.6,Accident,Minor,12:00,2
100,41.69,-87.6,Hazard,Road Hazards,05:00,30
101,41.69,-87.6,Hazard,Road Hazards,06:00,23
102,41.69,-87.6,Hazard,Road Hazards,07:00,22
103,41.69,-87.6,Hazard,Road Hazards,08:00,20
